0000,I,SIN INDICADOR,SIN INDICADOR,,00,A,9999,2021-06-16 12:32:53.318581,2021-06-16 12:32:53.318581
0001,I,RECUENTO GLOBULOS BLANCOS,WBC,"4,00 - 10,00",03,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0002,I,RECUENTO GLOBULOS ROJOS,RBC,"3,80 - 5,80",04,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0003,I,"VOLUMEN CORPUSCULAR MEDIO,TAMAÑO GLOBULOS ROJOS",VCM,82 - 94,00,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0004,I,"HEMOGLOBINA CORPUSCULAR MEDIA, CANTIDAD HEMOGLOBINA POR GLOBULO ROJO",HCM,29 - 31,00,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0005,I,"CONCENTRACIÓN DE HEMOGLOBINA CORPUSCULAR MEDIA, CANTIDAD HEMOGLOBINA RELATIVA AL TAMNO DE LA CELULA",CHCM,32 - 36,00,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0006,I,HEMOGLOBINA,Hemoglobina,Varones: 13.3 - 17.0 --Mujeres: 12.0 - 15.8,05,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0007,I,HEMATOCRITO,Hematocrito,Varones: 42-54--Mujeres: 38 - 46,01,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0008,I,RECUENTO DE PLAQUETAS,Plaquetas,150-450,03,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0009,I,NEUTROFILOS EN BANDA ABASTONADOS ML^3,Abastonados,0-4,01,A,9999,2020-12-22 15:32:45.532561,2020-12-22 15:32:45.532561
0010,I,NEUTROFILOS SEGMENTADOS %,Segmentados,45 - 70,01,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0011,I,MICROALBUMINURIA ORINA,Microalbuminuria Orina,<20,22,A,9999,2021-06-15 07:15:40.742587,2021-06-15 07:15:40.742587
0012,I,NEUTROFILOS %,Neutrofilos,40 - 74,00,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0013,S,SANGRE OCULTO EN HECES,Sangre en Heces,-,00,A,9999,2021-06-18 14:32:28.05588,2021-06-18 14:32:28.05588
0014,I,CULTIVO GERMEN AISLADO,Germen Aislado,-,00,A,9999,2021-06-21 07:36:05.861224,2021-06-21 07:36:05.861224
0015,I,LINFOCITOS,Linfocitos,25-40,01,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0016,I,MONOCITOS,Monocitos,0-10,01,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0017,I,EOSINOFILOS,Eosinofilos,0-5,01,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0018,I,BASOFILOS,Basofilos,1-2,01,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0019,I,NEUTROFILOS ML^3,Neutrofilos,2.00 - 7.40,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0020,I,ABASTONADOS,Abastonados,0.0-0.4,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0021,I,SEGMENTADOS ML^3,Segmentados,2.00 - 7.00,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0022,I,LINFOCITOS,Linfocitos,1.50 - 4.00,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0023,I,MONOCITOS,Monocitos,0.00 - 1.10,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0024,I,EOSINOFILOS,Eosinofilos,0.00 - 0.40,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
0025,I,BASOFILOS,Basofilos,0.00 - 0.20,03,A,9999,2020-12-22 15:47:47.776194,2020-12-22 15:47:47.776194
